epoch,bur_vol_loss,loss,spin_loss,val_bur_vol_loss,val_loss,val_spin_loss
0,1.070170283317566,0.18995001912117004,0.08293318003416061,0.7558685541152954,0.13206109404563904,0.056474216282367706
1,0.7557782530784607,0.1283363550901413,0.05275841802358627,0.7449065446853638,0.12375865876674652,0.049267999827861786
2,0.703098714351654,0.1181274950504303,0.047817666083574295,0.6549353003501892,0.11073730140924454,0.0452437624335289
3,0.6674438118934631,0.11168987303972244,0.04494547098875046,0.6256676316261292,0.10652969777584076,0.04396294057369232
4,0.6412146687507629,0.1070956215262413,0.042974136769771576,0.6250649690628052,0.10543756186962128,0.042931072413921356
5,0.6161202788352966,0.10303523391485214,0.04142327606678009,0.6272145509719849,0.1055571436882019,0.04283568635582924
6,0.6042789220809937,0.10068268328905106,0.040254734456539154,0.6532906889915466,0.10570289939641953,0.04037380591034889
7,0.5876991152763367,0.09795022010803223,0.03918040171265602,0.6172735095024109,0.10044343769550323,0.03871608152985573
8,0.5745552182197571,0.09589550644159317,0.03844001516699791,0.6001347899436951,0.09871014207601547,0.03869666904211044
9,0.5645551085472107,0.0941595733165741,0.037704043090343475,0.5871427059173584,0.0977720245718956,0.03905775398015976
10,0.5597625374794006,0.09301683306694031,0.037040725350379944,0.5643795132637024,0.0946577787399292,0.038219816982746124
11,0.5499706864356995,0.09149143844842911,0.036494601517915726,0.5445170998573303,0.09182961285114288,0.037377920001745224
12,0.5409302115440369,0.09011868387460709,0.036025580018758774,0.5457954406738281,0.09102008491754532,0.036440543830394745
13,0.537821888923645,0.08936702460050583,0.035584818571805954,0.5583552122116089,0.09292459487915039,0.03708907216787338
14,0.5289955139160156,0.08809811621904373,0.0351986326277256,0.5302820801734924,0.08934395015239716,0.03631573170423508
15,0.5224276185035706,0.08709011226892471,0.03484730049967766,0.5191611051559448,0.08830583095550537,0.03638970106840134
16,0.5149793028831482,0.0860283225774765,0.03453052043914795,0.5338433980941772,0.09024052321910858,0.036856189370155334
17,0.51530522108078,0.08570437133312225,0.0341738685965538,0.5141110420227051,0.08722029626369476,0.03580918535590172
18,0.5063878893852234,0.08455169945955276,0.03391300514340401,0.5076103210449219,0.0863097608089447,0.03554872050881386
19,0.5034793019294739,0.084018275141716,0.03367051109671593,0.5220003128051758,0.08835218846797943,0.03615214675664902
20,0.49561750888824463,0.08299186080694199,0.03342998027801514,0.5154876112937927,0.08683115243911743,0.03528239578008652
21,0.49559614062309265,0.0827249214053154,0.03316532075405121,0.5118101835250854,0.0863044410943985,0.03512341156601906
22,0.4917638599872589,0.08215532451868057,0.03297886997461319,0.5132873058319092,0.08640015125274658,0.035071417689323425
23,0.4824116826057434,0.08103734254837036,0.0327962264418602,0.49274134635925293,0.08383230865001678,0.03455817699432373
24,0.48292556405067444,0.0808326005935669,0.03254023566842079,0.5075955390930176,0.08536548167467117,0.03460591286420822
25,0.4794037640094757,0.08030417561531067,0.03236373886466026,0.496687114238739,0.08385442197322845,0.034185703843832016
26,0.4749744236469269,0.07972747087478638,0.03223012015223503,0.49654656648635864,0.08554904162883759,0.035894375294446945
27,0.47218623757362366,0.07918652892112732,0.0319678857922554,0.4920876622200012,0.08388026058673859,0.034671492874622345
28,0.470031201839447,0.07881926745176315,0.03181615099310875,0.4898770749568939,0.08290934562683105,0.03392163664102554
29,0.4699350595474243,0.07862301170825958,0.03162958100438118,0.4740637242794037,0.08184649050235748,0.03444012254476547
